"slug","billing_period","type","regular_price","promotion_price","product_discount_id","contract_period","translation_key_id","introduction_price","orderable","action_period","action_period_price","is_default"
domain_trustee_priv.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_priv.no,12,registration,15000,,,12,,,false,,,false
domain_trustee_reklam.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_sa,12,registration,67000,,,12,,,false,,,false
domain_trustee_sa,24,registration,134000,,,24,,,false,,,false
domain_trustee_sa,36,registration,201000,,,36,,,false,,,false
domain_trustee_sex.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_sg,12,registration,4000,,,12,,,false,,,false
domain_trustee_sg,24,registration,8000,,,24,,,false,,,false
domain_trustee_sg,36,registration,12000,,,36,,,false,,,false
domain_trustee_shop.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_sport.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_suli.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_szex.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_tm.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_tn,12,registration,5000,,,12,,,false,,,false
domain_trustee_tn,24,registration,10000,,,24,,,false,,,false
domain_trustee_tn,36,registration,15000,,,36,,,false,,,false
domain_trustee_tozsde.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_utazas.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_video.hu,24,registration,2000,,,24,,,false,,,false
domain_trustee_web.id,12,registration,14000,,,12,,,false,,,false
Domain Validation SSL,12,prolongation,0,,74,12,,,true,,,false
Domain Validation SSL,12,registration,7188,120,,12,,,true,,,false
Domain Validation SSL,12,registration,5750,,,24,,,false,,,false
Domain Validation SSL,24,registration,11501,5870,,24,,,true,12,10,false
Domain Validation SSL,12,registration,5032,,,36,,,false,,,false
Domain Validation SSL,36,registration,15095,10183,,36,,,true,12,10,true
Domain-with-Email,1,prolongation,1699,,,1,,,false,,,false
Domain-with-Email,3,prolongation,5097,,,3,,,false,,,false
Domain-with-Email,12,prolongation,20388,,,12,,,true,,,false
Domain-with-Email,24,prolongation,32621,,,24,,,false,,,false
easy_wp_addons,12,registration,0,,,12,,,false,,,false
eBusiness-hostingpakket,1,prolongation,4995,,,1,,,false,,,false
eBusiness-hostingpakket,3,prolongation,13735,,,3,,,false,,,false
eBusiness-hostingpakket,12,prolongation,49950,,,12,,,false,,,false
eenmalig_terugzetten_backup,1,registration,5000,,,1,,,true,,,false
Email-100,1,prolongation,1799,,,1,,,false,,,false
Email-100,3,prolongation,5397,,,3,,,false,,,false
Email-100,1,prolongation,1799,,,12,,,false,,,false
Email-100,12,prolongation,21588,,,12,,,false,,,false
Email-100,24,prolongation,34541,,,24,,,false,,,false
Email-5,1,prolongation,1699,,,1,,,false,,,false
Email-5,3,prolongation,5097,,,3,,,false,,,false
Email-5,1,prolongation,1699,,,12,,,false,,,false
Email-5,12,prolongation,20388,,,12,,,false,,,false
Email-5,24,prolongation,32621,,,24,,,false,,,false
Email-500,1,prolongation,1999,,,1,,,false,,,false
Email-500,3,prolongation,5997,,,3,,,false,,,false
Email-500,1,prolongation,1999,,,12,,,false,,,false
Email-500,12,prolongation,23988,,,12,,,false,,,false
Email-500,24,prolongation,38381,,,24,,,false,,,false
email-max,1,registration,1999,,,12,,,true,,,false
email-max,12,registration,23988,0,,12,2867,,true,,,false
email-max,1,registration,1599,,,24,,,true,,,false
email-max,24,registration,38381,19191,,24,,,true,12,0,false
email-max,1,registration,1399,,,36,,,true,,,false
email-max,36,registration,50375,33583,,36,,,true,12,0,false
E-mail Pro,1,prolongation,1999,,,12,,,true,,,false
E-mail Pro,12,prolongation,23988,,,12,,,true,,,false
E-mail Pro,12,prolongation,19190,,,24,,,true,,,false
E-mail Pro,12,prolongation,16792,,,36,,,true,,,false
E-mail Standard,1,prolongation,1699,,,12,,,true,,,false
E-mail Standard,12,prolongation,20388,,,12,,,true,,,false
E-mail Standard,12,prolongation,16310,,,24,,,true,,,false
E-mail Standard,12,prolongation,14272,,,36,,,true,,,false
email-start,1,registration,1699,,,12,,,true,,,false
email-start,12,registration,20388,10788,,12,2866,,true,6,99,false
email-start,1,registration,1359,,,24,,,true,,,false
email-start,24,registration,32621,25060,,24,,,true,6,99,false
email-start,1,registration,1189,,,36,,,true,,,false
email-start,36,registration,42815,36273,,36,,,true,6,99,false
exchange-online-protection,1,registration,150,,,1,,,true,,,false
exchange-online-protection,12,registration,1500,,,12,,,true,,,false
exchange-online-protection-parent,1,registration,0,,,1,,,true,,,false
exchange-online-protection-parent,12,registration,0,,,12,,,true,,,false
Extended validation SSL,12,registration,19188,,,12,,,true,,,false
Extended validation SSL,24,registration,30701,,,24,,,true,,,false
Extended validation SSL,36,registration,40295,,,36,,,true,,,false
extension_2000.hu,24,registration,12399,,,24,,,true,,,true
extension_abogado,12,registration,15399,,,12,,,true,,,false
extension_abogado,24,registration,30798,,,24,,,true,,,false
extension_abogado,36,registration,46197,,,36,,,true,,,false
extension_ac,12,registration,7999,,,12,,,true,,,false
extension_ac,24,registration,15997,,,24,,,true,,,false
extension_ac,36,registration,23997,,,36,,,true,,,false
extension_academy,12,registration,5899,,,12,,,true,,,false
extension_academy,24,registration,10398,,,24,,,true,,,false
extension_academy,36,registration,15597,,,36,,,true,,,false
extension_ac.bd,24,registration,12399,,,24,,,true,,,true
extension_accountant,12,registration,5999,,,12,,,true,,,false
extension_accountant,24,registration,11998,,,24,,,true,,,false
extension_accountant,36,registration,17997,,,36,,,true,,,false
extension_accountants,12,registration,11499,,,12,,,true,,,false
extension_accountants,24,registration,22998,,,24,,,true,,,false
extension_accountants,36,registration,34497,,,36,,,true,,,false
extension_ac.ma,12,registration,7699,,,12,,,true,,,true
extension_ac.mu,12,registration,10250,,,12,,,true,,,true
extension_actor,12,registration,4099,,,12,,,true,,,false
extension_actor,24,registration,8198,,,24,,,true,,,false
extension_actor,36,registration,12297,,,36,,,true,,,false
extension_ac.vn,12,registration,15399,,,12,,,true,,,true
extension_adult,12,registration,10299,,,12,,,true,,,false
extension_adult,24,registration,20598,,,24,,,true,,,false
extension_adult,36,registration,30897,,,36,,,true,,,false
extension_ae,12,registration,8999,,,12,,,true,,,false
extension_ae,24,registration,17998,,,24,,,true,,,false
extension_ae,36,registration,26997,,,36,,,true,,,false
extension_aero,12,registration,7295,,,12,,,true,,,true
extension_aero,24,registration,60000,,,24,,,true,,,false
extension_af,12,registration,11799,,,12,,,true,,,false
extension_af,24,registration,23598,,,24,,,true,,,false
extension_af,36,registration,35397,,,36,,,true,,,false
extension_africa,12,registration,3099,,,12,,,true,,,false
